Successful opening input_fpa
Successful opening new_fake10kdba
Malloc done
Memcpy FP done
Memcpy done
Malloc again done
ID 3175-635	: 0.574257
ID 9127-1825	: 0.574231
ID 3018-603	: 0.574143
ID 339-67	: 0.574138
ID 9206-1841	: 0.573939
ID 2178-435	: 0.573935
ID 9464-1892	: 0.573873
ID 2744-548	: 0.573825
ID 1997-399	: 0.573754
ID 6465-1293	: 0.573497
ID 2075-415	: 0.573358
ID 9205-1841	: 0.573203
ID 4092-818	: 0.573127
ID 9958-1991	: 0.573006
ID 9890-1978	: 0.572821
ID 3839-767	: 0.572603
ID 2323-464	: 0.572524
ID 3380-676	: 0.57237
ID 9830-1966	: 0.572235
ID 2940-588	: 0.572174
ID 2857-571	: 0.572018
ID 9104-1820	: 0.571868
ID 6106-1221	: 0.571846
ID 9901-1980	: 0.571833
ID 2907-581	: 0.571766
ID 1070-214	: 0.571421
ID 8969-1793	: 0.571393
ID 3578-715	: 0.571374
ID 5618-1123	: 0.571267
ID 668-133	: 0.571113
ID 121-24	: 0.571109
ID 5257-1051	: 0.570937
ID 7852-1570	: 0.570888
ID 5319-1063	: 0.570839
ID 1934-386	: 0.570833
ID 1580-316	: 0.570832
ID 1378-275	: 0.570701
ID 2134-426	: 0.570612
ID 3354-670	: 0.570498
ID 6436-1287	: 0.570441
ID 1157-231	: 0.570068
ID 596-119	: 0.569845
ID 5735-1147	: 0.56971
ID 188-37	: 0.56944
ID 9817-1963	: 0.569396
ID 5464-1092	: 0.569145
ID 5091-1018	: 0.569131
ID 3435-687	: 0.568784
ID 6700-1340	: 0.568571
ID 1235-247	: 0.568556
ID 1844-368	: 0.568526
ID 7395-1479	: 0.568476
ID 3483-696	: 0.568381
ID 3819-763	: 0.568172
ID 578-115	: 0.567936
ID 722-144	: 0.56789
ID 4888-977	: 0.567875
ID 9711-1942	: 0.567775
ID 9250-1850	: 0.567729
ID 6394-1278	: 0.56772
ID 6134-1226	: 0.567188
ID 4382-876	: 0.567039
ID 8552-1710	: 0.566993
ID 715-143	: 0.566725
ID 9334-1866	: 0.566647
ID 7409-1481	: 0.566639
ID 6793-1358	: 0.566468
ID 2540-508	: 0.566435
ID 4348-869	: 0.56632
ID 2301-460	: 0.566264
ID 3938-787	: 0.566236
ID 8143-1628	: 0.566114
ID 1552-310	: 0.565725
ID 8505-1701	: 0.565549
ID 2777-555	: 0.565535
ID 9766-1953	: 0.565508
ID 4512-902	: 0.565424
ID 9400-1880	: 0.565394
ID 6455-1291	: 0.56521
ID 2079-415	: 0.564986
ID 8646-1729	: 0.564931
ID 5887-1177	: 0.564887
ID 9780-1956	: 0.564704
